country,iso3,region,subregion,year,authority,authority_band,enforcement_capacity,enforcement_capacity_band,information_control,information_control_band,institutional_capacity,institutional_capacity_band,legitimacy,legitimacy_band,resource_concentration,resource_concentration_band,prototype_note
Ethiopia,ETH,Africa,Eastern Africa,1990,41.2,Medium,48.0,Medium,42.1,Medium,31.6,Low,48.1,Medium,54.3,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2001,37.1,Low,52.0,Medium,45.3,Medium,37.3,Low,50.8,Medium,56.9,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2002,36.5,Low,51.9,Medium,45.6,Medium,37.5,Low,51.0,Medium,57.6,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2003,37.2,Low,52.5,Medium,46.6,Medium,37.1,Low,50.4,Medium,58.7,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2004,38.2,Low,52.3,Medium,46.5,Medium,36.1,Low,51.0,Medium,58.3,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2005,38.5,Low,52.6,Medium,46.5,Medium,35.7,Low,50.5,Medium,58.7,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2006,39.5,Low,52.7,Medium,46.4,Medium,35.2,Low,50.4,Medium,58.1,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2007,39.2,Low,52.5,Medium,45.8,Medium,35.1,Low,50.8,Medium,57.9,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2008,40.1,Medium,52.9,Medium,45.0,Medium,34.6,Low,51.6,Medium,58.0,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2009,40.2,Medium,53.0,Medium,45.4,Medium,34.3,Low,51.9,Medium,58.3,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2010,41.3,Medium,52.1,Medium,44.9,Medium,34.4,Low,52.7,Medium,57.8,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2011,40.5,Medium,51.8,Medium,44.1,Medium,33.9,Low,52.4,Medium,57.3,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2012,40.1,Medium,51.1,Medium,43.8,Medium,34.1,Low,52.2,Medium,56.2,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2013,39.8,Low,49.7,Medium,42.9,Medium,34.5,Low,51.4,Medium,56.2,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2014,39.8,Low,48.6,Medium,43.3,Medium,33.7,Low,51.7,Medium,55.5,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2015,39.0,Low,49.5,Medium,43.6,Medium,33.3,Low,51.3,Medium,55.0,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2016,38.3,Low,49.1,Medium,42.7,Medium,33.6,Low,50.3,Medium,54.9,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2017,37.5,Low,48.3,Medium,42.9,Medium,33.3,Low,48.7,Medium,54.7,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2018,35.8,Low,47.6,Medium,42.8,Medium,33.2,Low,47.7,Medium,54.7,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2019,35.0,Low,47.4,Medium,44.1,Medium,32.7,Low,47.0,Medium,54.4,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2020,34.5,Low,47.9,Medium,44.6,Medium,33.2,Low,46.1,Medium,54.0,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2021,33.5,Low,48.8,Medium,45.1,Medium,32.5,Low,44.6,Medium,54.7,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2022,32.9,Low,49.2,Medium,45.7,Medium,32.7,Low,45.2,Medium,54.6,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2023,33.1,Low,50.0,Medium,46.3,Medium,32.5,Low,45.7,Medium,53.9,Medium,Synthetic safe prototype data; not factual.
Ethiopia,ETH,Africa,Eastern Africa,2024,33.1,Low,51.4,Medium,47.6,Medium,33.3,Low,45.3,Medium,52.9,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,1990,48.3,Medium,44.6,Medium,47.5,Medium,31.1,Low,53.4,Medium,50.3,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,1991,50.3,Medium,44.3,Medium,46.6,Medium,31.4,Low,53.9,Medium,51.2,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,1992,51.4,Medium,43.7,Medium,47.6,Medium,32.4,Low,54.9,Medium,52.6,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,1993,50.9,Medium,43.0,Medium,48.7,Medium,32.7,Low,55.0,Medium,53.4,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,1994,50.1,Medium,41.4,Medium,50.2,Medium,32.0,Low,54.9,Medium,54.8,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,1995,51.1,Medium,41.5,Medium,49.6,Medium,31.7,Low,55.9,Medium,55.1,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,1996,51.1,Medium,42.7,Medium,49.1,Medium,32.3,Low,57.3,Medium,54.9,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,1997,51.3,Medium,43.1,Medium,49.4,Medium,33.2,Low,57.7,Medium,54.5,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,1998,52.2,Medium,43.6,Medium,49.1,Medium,35.2,Low,58.5,Medium,54.8,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,1999,53.2,Medium,44.2,Medium,48.8,Medium,36.0,Low,57.9,Medium,54.3,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2000,53.4,Medium,45.2,Medium,48.6,Medium,36.6,Low,58.5,Medium,55.5,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2001,52.9,Medium,45.5,Medium,48.9,Medium,36.9,Low,58.5,Medium,55.1,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2002,53.4,Medium,46.2,Medium,49.0,Medium,36.9,Low,58.6,Medium,55.0,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2003,53.0,Medium,46.1,Medium,48.3,Medium,36.4,Low,58.2,Medium,55.0,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2004,52.4,Medium,46.2,Medium,48.8,Medium,36.1,Low,58.2,Medium,54.3,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2005,51.4,Medium,46.6,Medium,48.4,Medium,36.2,Low,57.2,Medium,53.3,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2006,52.3,Medium,47.4,Medium,48.7,Medium,36.7,Low,57.3,Medium,53.5,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2007,52.0,Medium,47.6,Medium,49.4,Medium,37.9,Low,57.4,Medium,53.0,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2008,51.2,Medium,46.3,Medium,50.3,Medium,36.9,Low,55.8,Medium,53.4,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2009,49.7,Medium,44.4,Medium,51.3,Medium,36.9,Low,53.6,Medium,53.3,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2010,50.4,Medium,44.5,Medium,52.0,Medium,36.6,Low,53.1,Medium,53.3,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2011,51.0,Medium,44.3,Medium,52.7,Medium,37.0,Low,53.7,Medium,51.7,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2012,50.9,Medium,44.0,Medium,52.5,Medium,37.2,Low,54.0,Medium,50.2,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2013,51.1,Medium,44.0,Medium,51.7,Medium,37.0,Low,54.2,Medium,49.1,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2014,50.9,Medium,44.4,Medium,51.7,Medium,36.9,Low,53.9,Medium,48.0,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2015,51.6,Medium,44.7,Medium,51.7,Medium,36.7,Low,54.0,Medium,47.0,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2016,51.2,Medium,44.7,Medium,52.0,Medium,35.5,Low,54.0,Medium,47.0,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2017,51.9,Medium,45.3,Medium,51.9,Medium,35.8,Low,54.2,Medium,46.9,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2018,52.1,Medium,45.0,Medium,52.3,Medium,36.4,Low,54.1,Medium,47.0,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2019,51.8,Medium,45.4,Medium,51.1,Medium,36.6,Low,53.8,Medium,47.9,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2020,51.7,Medium,44.7,Medium,51.7,Medium,36.5,Low,54.1,Medium,48.3,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2021,51.4,Medium,44.5,Medium,51.4,Medium,36.0,Low,53.7,Medium,48.2,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2022,51.4,Medium,45.2,Medium,51.7,Medium,35.7,Low,54.7,Medium,48.3,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2023,52.3,Medium,45.4,Medium,50.1,Medium,36.1,Low,55.8,Medium,48.8,Medium,Synthetic safe prototype data; not factual.
Kenya,KEN,Africa,Eastern Africa,2024,52.5,Medium,46.4,Medium,49.7,Medium,36.4,Low,56.5,Medium,48.9,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,1990,41.9,Medium,40.6,Medium,43.5,Medium,45.2,Medium,43.3,Medium,53.3,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,1991,42.1,Medium,40.3,Medium,43.8,Medium,45.7,Medium,43.0,Medium,53.4,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,1992,41.5,Medium,39.5,Low,43.6,Medium,46.4,Medium,43.3,Medium,53.6,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,1993,41.4,Medium,39.6,Low,43.2,Medium,47.7,Medium,43.7,Medium,54.1,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,1994,42.0,Medium,39.7,Low,43.0,Medium,48.3,Medium,44.8,Medium,54.5,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,1995,42.5,Medium,40.9,Medium,42.8,Medium,49.2,Medium,44.6,Medium,54.1,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,1996,42.8,Medium,41.8,Medium,43.3,Medium,49.8,Medium,44.5,Medium,54.6,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,1997,42.5,Medium,42.1,Medium,43.1,Medium,49.5,Medium,44.1,Medium,55.0,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,1998,41.5,Medium,42.2,Medium,43.5,Medium,48.7,Medium,43.7,Medium,54.6,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,1999,42.0,Medium,41.9,Medium,44.6,Medium,48.6,Medium,42.5,Medium,55.2,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2000,42.3,Medium,41.6,Medium,44.4,Medium,47.6,Medium,40.8,Medium,55.1,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2001,41.0,Medium,41.6,Medium,44.7,Medium,47.5,Medium,41.5,Medium,55.3,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2002,42.0,Medium,42.2,Medium,44.9,Medium,47.4,Medium,40.9,Medium,54.9,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2003,42.5,Medium,43.4,Medium,46.1,Medium,47.6,Medium,41.8,Medium,53.3,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2004,43.0,Medium,43.6,Medium,46.5,Medium,48.6,Medium,42.8,Medium,52.5,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2005,43.0,Medium,44.1,Medium,46.5,Medium,49.5,Medium,43.8,Medium,50.3,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2006,41.2,Medium,44.2,Medium,46.9,Medium,49.7,Medium,44.1,Medium,49.7,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2007,40.6,Medium,44.7,Medium,47.6,Medium,49.9,Medium,43.8,Medium,50.2,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2008,39.8,Low,44.3,Medium,48.9,Medium,49.3,Medium,44.5,Medium,48.9,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2009,39.9,Low,44.0,Medium,48.8,Medium,48.6,Medium,44.3,Medium,47.9,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2010,39.9,Low,43.9,Medium,49.2,Medium,48.7,Medium,45.5,Medium,46.8,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2011,39.5,Low,43.0,Medium,48.9,Medium,48.2,Medium,46.4,Medium,45.7,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2012,38.9,Low,42.5,Medium,48.2,Medium,49.7,Medium,47.3,Medium,45.3,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2013,39.5,Low,42.0,Medium,48.7,Medium,50.1,Medium,47.7,Medium,45.0,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2014,39.3,Low,41.2,Medium,49.4,Medium,50.6,Medium,48.3,Medium,44.9,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2015,39.5,Low,41.3,Medium,48.9,Medium,50.4,Medium,48.6,Medium,44.6,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2016,40.0,Medium,41.2,Medium,48.7,Medium,49.9,Medium,48.9,Medium,44.3,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2017,40.4,Medium,41.4,Medium,47.5,Medium,50.0,Medium,48.5,Medium,44.3,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2018,40.2,Medium,42.3,Medium,46.9,Medium,49.6,Medium,48.5,Medium,45.8,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2019,41.1,Medium,42.4,Medium,46.1,Medium,49.9,Medium,48.3,Medium,46.0,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2020,41.8,Medium,42.4,Medium,45.7,Medium,50.0,Medium,48.0,Medium,45.8,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2021,41.8,Medium,42.6,Medium,45.0,Medium,51.5,Medium,48.2,Medium,46.1,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2022,43.0,Medium,43.6,Medium,44.8,Medium,51.5,Medium,47.7,Medium,46.5,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2023,43.7,Medium,44.5,Medium,44.0,Medium,51.9,Medium,47.8,Medium,47.7,Medium,Synthetic safe prototype data; not factual.
Mozambique,MOZ,Africa,Eastern Africa,2024,44.3,Medium,44.9,Medium,44.2,Medium,52.6,Medium,47.4,Medium,48.2,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,1990,42.2,Medium,44.9,Medium,45.6,Medium,52.0,Medium,35.2,Low,48.0,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,1991,42.7,Medium,45.0,Medium,45.4,Medium,52.3,Medium,35.1,Low,48.4,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,1992,42.7,Medium,45.0,Medium,45.3,Medium,52.5,Medium,35.1,Low,48.6,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,1993,43.5,Medium,46.0,Medium,45.2,Medium,52.3,Medium,36.0,Low,48.3,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,1994,43.3,Medium,45.5,Medium,46.4,Medium,52.4,Medium,35.8,Low,49.2,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,1995,43.4,Medium,44.1,Medium,46.7,Medium,51.9,Medium,35.5,Low,49.5,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,1996,42.6,Medium,44.3,Medium,47.3,Medium,52.3,Medium,35.2,Low,50.4,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,1997,43.2,Medium,43.2,Medium,48.2,Medium,51.9,Medium,34.0,Low,51.0,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,1998,42.4,Medium,40.9,Medium,49.3,Medium,52.9,Medium,32.3,Low,51.7,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,1999,41.9,Medium,40.0,Low,51.0,Medium,52.4,Medium,30.6,Low,53.1,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2000,41.2,Medium,39.3,Low,51.2,Medium,52.4,Medium,29.7,Low,53.8,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2001,41.6,Medium,39.6,Low,51.2,Medium,52.5,Medium,29.2,Low,53.5,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2002,41.7,Medium,40.3,Medium,50.7,Medium,52.8,Medium,29.0,Low,53.0,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2003,42.9,Medium,41.6,Medium,49.4,Medium,55.0,Medium,30.1,Low,53.0,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2004,44.6,Medium,43.1,Medium,48.1,Medium,56.0,Medium,31.3,Low,52.7,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2005,45.2,Medium,44.3,Medium,46.7,Medium,56.3,Medium,31.9,Low,51.2,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2006,45.5,Medium,44.8,Medium,46.0,Medium,56.1,Medium,32.5,Low,50.9,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2007,45.5,Medium,45.4,Medium,46.0,Medium,56.9,Medium,32.7,Low,50.3,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2008,45.6,Medium,45.0,Medium,44.1,Medium,57.4,Medium,32.7,Low,50.3,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2009,45.6,Medium,45.9,Medium,42.6,Medium,56.8,Medium,32.7,Low,49.5,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2010,45.4,Medium,46.8,Medium,41.9,Medium,56.3,Medium,32.2,Low,48.9,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2011,45.7,Medium,47.2,Medium,41.6,Medium,55.8,Medium,32.3,Low,47.4,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2012,45.6,Medium,48.2,Medium,41.6,Medium,54.7,Medium,32.4,Low,47.5,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2013,45.3,Medium,48.7,Medium,41.7,Medium,53.8,Medium,32.8,Low,47.2,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2014,45.2,Medium,49.0,Medium,41.0,Medium,54.0,Medium,32.8,Low,46.9,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2015,45.8,Medium,49.2,Medium,41.0,Medium,53.4,Medium,32.2,Low,46.7,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2016,45.8,Medium,49.4,Medium,40.3,Medium,53.2,Medium,32.5,Low,46.3,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2017,45.2,Medium,49.1,Medium,40.9,Medium,53.0,Medium,32.5,Low,46.2,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2018,46.1,Medium,48.9,Medium,41.2,Medium,52.1,Medium,33.2,Low,46.5,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2019,46.4,Medium,48.7,Medium,42.0,Medium,52.4,Medium,33.4,Low,46.9,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2020,47.3,Medium,47.1,Medium,42.2,Medium,52.5,Medium,33.9,Low,46.7,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2021,48.6,Medium,47.3,Medium,42.7,Medium,52.5,Medium,34.0,Low,47.6,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2022,48.5,Medium,47.5,Medium,43.8,Medium,53.0,Medium,35.3,Low,48.5,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2023,48.8,Medium,48.1,Medium,44.7,Medium,53.9,Medium,35.0,Low,47.7,Medium,Synthetic safe prototype data; not factual.
Tanzania,TZA,Africa,Eastern Africa,2024,49.2,Medium,48.2,Medium,45.3,Medium,54.9,Medium,35.9,Low,47.8,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,1990,57.6,Medium,41.7,Medium,42.0,Medium,44.0,Medium,56.2,Medium,53.7,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,1991,56.1,Medium,43.8,Medium,42.2,Medium,44.8,Medium,56.5,Medium,55.3,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,1992,56.0,Medium,44.1,Medium,42.8,Medium,45.0,Medium,57.2,Medium,55.7,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,1993,56.3,Medium,45.5,Medium,43.3,Medium,44.4,Medium,57.0,Medium,56.2,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,1994,56.7,Medium,46.2,Medium,45.5,Medium,45.0,Medium,57.1,Medium,56.2,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,1995,57.8,Medium,46.1,Medium,44.9,Medium,45.1,Medium,57.4,Medium,57.2,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,1996,58.5,Medium,46.5,Medium,45.6,Medium,45.2,Medium,57.5,Medium,56.3,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,1997,59.2,Medium,47.7,Medium,46.8,Medium,45.8,Medium,57.1,Medium,56.4,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,1998,59.0,Medium,48.2,Medium,46.8,Medium,45.8,Medium,56.9,Medium,56.3,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,1999,58.8,Medium,47.6,Medium,47.0,Medium,46.4,Medium,56.5,Medium,56.3,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,2000,58.8,Medium,48.0,Medium,46.2,Medium,46.2,Medium,57.0,Medium,55.4,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,2001,59.1,Medium,48.2,Medium,45.0,Medium,47.3,Medium,56.4,Medium,55.1,Medium,Synthetic safe prototype data; not factual.
Uganda,UGA,Africa,Eastern Africa,2002,59.0,Medium,47.5,Medium,45.1,Medium,46.5,Medium,55.5,Medium,55.9,Medium,Synthetic safe prototype data; not factual.
