country,iso3,region,subregion,year,stress_index,stress_band,state_regime,event_signal,event_type_primary,event_phase,coverage_count,coverage_ratio,confidence_band,synthetic_flag
Uganda,UGA,Africa,Eastern Africa,2009,49.7,Medium,Watch,0.352,Fiscal shock,active,14,0.438,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2010,47.3,Medium,Watch,0.175,Fiscal shock,active,15,0.469,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2011,44.3,Medium,Watch,0.0,Recovery window,recovery,14,0.438,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2012,43.1,Medium,Watch,0.0,Recovery window,recovery,19,0.594,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2013,42.3,Medium,Watch,0.0,Recovery window,recovery,22,0.688,High,Yes
Uganda,UGA,Africa,Eastern Africa,2014,42.9,Medium,Watch,0.0,Recovery window,recovery,13,0.406,Low,Yes
Uganda,UGA,Africa,Eastern Africa,2015,42.4,Medium,Watch,0.0,Recovery window,recovery,16,0.5,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2016,42.4,Medium,Watch,0.006,Baseline,latent,15,0.469,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2017,43.0,Medium,Watch,0.073,Institutional transition,build,17,0.531,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2018,43.9,Medium,Watch,0.113,Institutional transition,build,16,0.5,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2019,43.6,Medium,Watch,0.107,Institutional transition,build,16,0.5,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2020,42.7,Medium,Watch,0.069,Institutional transition,build,18,0.562,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2021,42.8,Medium,Watch,0.067,Institutional transition,build,13,0.406,Low,Yes
Uganda,UGA,Africa,Eastern Africa,2022,40.7,Medium,Watch,0.0,Baseline,latent,19,0.594,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2023,40.4,Medium,Watch,0.0,Baseline,latent,20,0.625,Medium,Yes
Uganda,UGA,Africa,Eastern Africa,2024,40.2,Medium,Watch,0.0,Baseline,latent,18,0.562,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,1990,49.9,Medium,Watch,0.0,Baseline,latent,8,0.25,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,1991,49.8,Medium,Watch,0.0,Baseline,latent,9,0.281,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,1992,50.0,High,Escalated,0.0,Baseline,latent,9,0.281,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,1993,49.4,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,1994,48.9,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,1995,49.5,Medium,Watch,0.0,Baseline,latent,10,0.312,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,1996,49.5,Medium,Watch,0.0,Baseline,latent,10,0.312,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,1997,49.3,Medium,Watch,0.0,Baseline,latent,10,0.312,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,1998,48.7,Medium,Watch,0.0,Baseline,latent,9,0.281,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,1999,48.1,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,2000,48.4,Medium,Watch,0.0,Baseline,latent,9,0.281,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,2001,47.5,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,2002,47.5,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,2003,47.2,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2004,47.8,Medium,Watch,0.0,Baseline,latent,13,0.406,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,2005,47.8,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,2006,47.7,Medium,Watch,0.0,Baseline,latent,11,0.344,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,2007,47.1,Medium,Watch,0.0,Baseline,latent,14,0.438,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2008,47.9,Medium,Watch,0.0,Baseline,latent,12,0.375,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,2009,49.1,Medium,Watch,0.113,Information disruption,build,16,0.5,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2010,50.6,High,Escalated,0.167,Information disruption,active,14,0.438,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2011,51.8,High,Escalated,0.221,Information disruption,active,13,0.406,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,2012,53.1,High,Escalated,0.261,Information disruption,active,13,0.406,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,2013,53.7,High,Escalated,0.276,Information disruption,active,16,0.5,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2014,54.7,High,Escalated,0.333,Information disruption,active,15,0.469,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2015,54.8,High,Escalated,0.355,Information disruption,active,19,0.594,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2016,55.8,High,Escalated,0.362,Governance stress,active,16,0.5,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2017,56.2,High,Escalated,0.334,Governance stress,active,13,0.406,Low,Yes
Zambia,ZMB,Africa,Eastern Africa,2018,53.9,High,Escalated,0.195,Governance stress,active,16,0.5,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2019,53.2,High,Escalated,0.156,Governance stress,active,15,0.469,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2020,53.2,High,Escalated,0.172,Institutional transition,active,16,0.5,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2021,52.6,High,Escalated,0.165,Institutional transition,active,17,0.531,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2022,51.4,High,Escalated,0.1,Institutional transition,build,18,0.562,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2023,49.7,Medium,Watch,0.022,Baseline,latent,20,0.625,Medium,Yes
Zambia,ZMB,Africa,Eastern Africa,2024,49.1,Medium,Watch,0.0,Baseline,latent,19,0.594,Medium,Yes
Zimbabwe,ZWE,Africa,Eastern Africa,1990,50.8,High,Escalated,0.0,Baseline,latent,8,0.25,Low,Yes
Zimbabwe,ZWE,Africa,Eastern Africa,1991,50.7,High,Escalated,0.0,Baseline,latent,10,0.312,Low,Yes
Zimbabwe,ZWE,Africa,Eastern Africa,1992,50.6,High,Escalated,0.0,Baseline,latent,12,0.375,Low,Yes
Zimbabwe,ZWE,Africa,Eastern Africa,1993,50.7,High,Escalated,0.0,Baseline,latent,9,0.281,Low,Yes
Zimbabwe,ZWE,Africa,Eastern Africa,1994,51.2,High,Escalated,0.032,Baseline,latent,8,0.25,Low,Yes
Zimbabwe,ZWE,Africa,Eastern Africa,1995,51.9,High,Escalated,0.142,Governance stress,build,11,0.344,Low,Yes
Zimbabwe,ZWE,Africa,Eastern Africa,1996,53.4,High,Escalated,0.235,Governance stress,active,9,0.281,Low,Yes
Zimbabwe,ZWE,Africa,Eastern Africa,1997,52.1,High,Escalated,0.142,Governance stress,build,11,0.344,Low,Yes
Zimbabwe,ZWE,Africa,Eastern Africa,1998,50.1,High,Escalated,0.032,Baseline,latent,14,0.438,Medium,Yes
Zimbabwe,ZWE,Africa,Eastern Africa,1999,49.1,Medium,Watch,0.0,Baseline,latent,15,0.469,Medium,Yes
